,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
281,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Buildstack Pty Ltd,Mudgeeraba,4213.0,,,SecureStack Software-as-a-Service Product Project,Mudgeeraba,4213.0,,23/07/2018,Gold Coast (C),Gold Coast,Mudgeeraba,94000.0
282,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,DEC-UAV Pty Ltd - Fortitude Valley,Fortitude Valley,4006.0,,,Commercialisation of a compliance-as-a-service platform for commercial drone operations,Fortitude Valley,4006.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,250000.0
283,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Din Dins Club Australia Pty Ltd,Brisbane City,4000.0,,,Turning Queensland into a world leading Chinese friendly destination,Brisbane City,4000.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,96644.0
284,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,De Motu Cordis Pty Ltd,Wilston,4051.0,,,Commercialization of the Epihaler™ DPI for non-invasive treatment of Anaphylaxis,Chermside,4032.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,Stafford,100000.0
285,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,CodeMakers Australia Pty Ltd,Brisbane City,4000.0,,,Refine platform for scale and commercialise in the US market,Brisbane City,4000.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,80000.0
286,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Data Farming Pty Ltd,Toowoomba City,4350.0,,,Long Term Productivity Zones Created Automatically for Agronomists and Farmers,Toowoomba City,4350.0,,23/07/2018,Toowoomba (R),Darling Downs,Toowoomba North,100000.0
287,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Blenktech Pty Ltd,Spring Hill,4000.0,,,Commercialisation of the HyraIQ retail lease negotiation software,Spring Hill,4000.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
288,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Askable Pty Ltd,Fortitude Valley,4006.0,,,New Zealand (NZ) Expansion and International Automation,Fortitude Valley,4006.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
289,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Australasian Drilling Institute Pty Ltd,Aeroglen,4870.0,,,Benchmark Competency Based Observations (CBO) Project,Aeroglen,4870.0,,23/07/2018,Cairns (R),Far North Queensland,Cairns,100000.0
290,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Ahangari Enterprises Pty Ltd,Sunnybank,4109.0,,,Labiosync - A revolution for compliance in Myofunctional Orthodontics,Sunnybank,4109.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,Toohey,48550.0
291,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Advanced Agricultural Systems Pty Ltd,Gindie,4702.0,,,Delivering Robots to Farmers,Gindie,4702.0,,23/07/2018,Central Highlands (R),Central Queensland,Gregory,249360.0
292,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Advvy Pty Ltd,South Brisbane,4101.0,,,Scaling of Advvy’s Media Agency Workflow platform internationally,South Brisbane,4101.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,South Brisbane,100000.0
293,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Bidhive Pty Ltd,Ashgrove,4060.0,,,Bidhive platform commercialisation,Ashgrove,4060.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,Cooper,100000.0
294,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,BioHerbicides Australia Pty Ltd,Gatton,4343.0,,,Environmentally safe herbicide delivery system for control of unwanted trees.,Gatton,4343.0,,23/07/2018,Lockyer Valley (R),Darling Downs,Lockyer,100000.0
295,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,BeneTerra Pty Ltd,Brisbane City,4000.0,,,Commercialising the BeneVap BV150-1A technology for landfill leachate applications,Brisbane City,4000.0,,23/07/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
296,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Australasian Rural Pty Ltd,Emerald,4720.0,,,Phase 2 - Farm Management Trial on Two Large Cattle Properties,Gordonstone,4723.0,,23/07/2018,Central Highlands (R),Central Queensland,Gregory,100000.0
297,Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Becon Health Pty Ltd,Townsville City,4810.0,,,Opening Up Access To Allied Healthcare Over Video,Townsville City,4810.0,,23/07/2018,Townsville (C),Townsville,Townsville,80000.0
298,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Scott Airway Management Pty Ltd,Teneriffe,4005.0,,,SAM Safety Seal  - oropharyngeal shield,Teneriffe,4005.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
