000,10,11,12,abc,act,albanese,asked,australian,australians,brisbane,bst,case,cases,change,children,coast,com,community,court,covid,cyclone,day,days,decision,don,election,emergency,energy,expected,family,federal,gmt,going,government,group,guardian,health,help,high,home,including,just,know,labor,leader,like,lnp,local,make,members,minister,morning,morrison,nation,national,need,new,news,north,nsw,palaszczuk,parliament,party,people,pic,police,power,premier,prime,public,report,right,say,says,service,services,south,state,statement,support,sydney,tax,think,time,today,told,twitter,updated,ve,victoria,violence,want,water,way,week,women,work,year,years
17,22,20,23,17,8,28,12,27,15,6,35,9,19,10,13,11,16,12,9,22,14,16,7,12,12,11,23,16,8,7,12,156,8,53,8,6,15,10,9,14,13,20,13,19,7,9,10,10,17,9,40,16,15,12,16,20,32,18,15,36,11,7,15,51,16,27,10,15,16,13,12,9,9,34,7,12,25,29,9,18,14,7,12,23,46,15,16,87,12,18,12,10,14,12,16,22,14,28,13
17,22,18,22,17,8,28,12,27,15,6,35,9,19,9,12,8,13,12,8,22,6,16,6,12,12,11,23,14,6,7,12,139,7,49,8,6,13,9,9,14,13,14,13,19,7,6,10,8,13,9,40,16,15,12,16,20,32,18,13,36,11,7,14,42,13,25,10,15,13,13,12,9,9,34,7,12,25,29,9,18,14,6,10,23,27,15,13,76,12,18,12,10,14,12,16,22,14,28,13
17,22,18,22,12,7,28,12,27,13,6,0,9,11,9,12,6,13,11,8,11,6,16,6,12,12,11,23,14,6,7,12,139,7,49,8,5,13,9,9,13,13,14,13,19,7,6,10,8,13,9,40,16,13,12,12,20,31,17,13,30,9,7,13,42,13,25,10,11,13,13,9,9,9,31,7,12,25,27,9,18,14,6,10,23,27,15,13,76,12,18,11,10,14,10,15,18,14,28,13
15,21,16,22,12,7,28,12,27,13,5,0,9,11,8,12,6,13,11,7,7,6,16,6,12,12,11,23,14,6,7,12,139,7,49,8,5,13,9,8,13,13,14,13,19,7,6,10,8,13,9,40,16,13,12,12,14,31,17,13,30,9,7,13,42,13,25,9,11,13,13,9,9,9,31,5,12,17,27,9,18,13,5,10,23,27,15,13,76,12,16,11,10,9,9,15,18,13,21,10
15,21,16,22,11,7,20,11,27,13,5,0,8,11,8,12,6,13,11,7,7,6,13,6,9,10,11,11,14,6,7,12,139,7,49,7,5,13,9,8,13,13,14,10,19,7,6,10,8,13,8,25,16,13,12,11,14,31,17,13,30,9,7,11,42,13,25,9,11,13,12,9,9,8,31,5,11,17,27,9,18,13,5,10,19,27,15,13,76,11,16,11,10,9,9,13,16,13,21,10
15,21,16,22,11,7,20,11,26,13,5,0,8,11,8,12,6,12,11,7,7,2,13,6,9,10,11,9,14,5,7,12,132,7,47,7,5,12,8,8,13,12,14,10,19,7,6,10,7,11,8,25,15,13,11,11,14,31,17,7,30,9,7,11,39,10,23,9,11,13,12,9,7,8,31,5,11,17,27,9,15,13,5,10,18,21,15,13,64,11,16,10,10,9,9,13,16,13,21,9
15,21,16,22,11,7,20,11,26,11,5,0,8,6,8,12,5,12,9,7,7,2,13,6,9,10,10,9,14,5,6,12,132,7,47,7,5,12,8,8,11,12,14,10,19,6,6,10,7,11,8,25,15,13,11,11,14,31,11,7,27,8,6,11,39,10,23,9,11,13,12,9,7,8,30,5,9,17,25,9,15,13,5,10,18,21,11,13,64,11,16,10,9,9,9,13,16,13,21,9
14,21,11,19,11,7,20,11,26,8,5,0,8,6,8,11,5,12,9,7,7,2,13,6,9,10,10,9,14,5,6,8,132,7,47,7,5,12,8,7,10,11,14,8,19,6,5,10,7,11,6,25,15,13,11,11,13,21,11,7,23,8,6,11,39,10,21,8,11,11,12,9,7,7,30,5,9,13,25,9,15,13,4,9,18,21,11,13,64,11,13,7,9,8,8,13,16,12,19,9
14,21,11,19,8,7,13,10,26,8,5,0,7,6,8,11,5,12,9,7,7,2,13,6,7,10,10,9,14,5,6,8,132,7,47,6,5,12,8,7,8,11,14,8,17,6,5,10,7,11,6,22,15,13,11,11,13,21,11,7,23,8,6,11,39,10,20,8,11,11,12,9,7,7,30,5,9,13,25,9,15,13,4,9,18,21,9,13,64,9,13,7,9,8,8,13,16,12,19,9
11,20,11,19,8,7,13,9,22,8,5,0,7,6,8,11,5,11,9,6,7,2,13,6,7,9,10,8,13,4,5,8,73,6,38,6,4,12,7,7,8,11,11,8,17,6,5,10,6,10,6,21,14,8,10,11,13,18,11,6,23,8,6,11,35,10,20,6,11,11,12,9,6,7,30,5,9,13,25,8,9,13,4,9,14,20,8,10,56,9,13,7,9,8,8,12,16,12,19,7
